,Понедельник,Вторник,Среда,Четверг,Пятница,Суббота,Воскресенье
06:00,"06:00 – Подъём, вода, лёгкая зарядка","06:00 – Подъём, вода, лёгкая зарядка","06:00 – Подъём, вода, лёгкая зарядка","06:00 – Подъём, вода, лёгкая зарядка","06:00 – Подъём, вода, лёгкая зарядка","06:00 – Подъём, вода, лёгкая зарядка","06:00 – Подъём, вода, лёгкая зарядка"
06:30,"06:30 – Душ, подготовка","06:30 – Душ, подготовка","06:30 – Душ, подготовка","06:30 – Душ, подготовка","06:30 – Душ, подготовка","06:30 – Душ, подготовка","06:30 – Душ, подготовка"
07:00,07:00 – Завтрак,07:00 – Завтрак,07:00 – Завтрак,07:00 – Завтрак,07:00 – Завтрак,07:00 – Завтрак,07:00 – Завтрак
08:00,08:00 – Свободное время / учёба / проект,08:00 – Свободное время / учёба / проект,08:00 – Подготовка к работе,08:00 – Подготовка к работе,08:00 – Подготовка к работе,08:00 – Свободное время / учёба / проект,08:00 – Свободное время / учёба / проект
09:00,09:00 – Работа / учёба / дела,09:00 – Работа / учёба / дела,09:00 – Работа,09:00 – Работа,09:00 – Работа,09:00 – Работа / учёба / дела,09:00 – Работа / учёба / дела
13:00,13:00 – Обед + перерыв,13:00 – Обед + перерыв,13:00 – Обед + перерыв,13:00 – Обед + перерыв,13:00 – Обед + перерыв,13:00 – Обед + перерыв,13:00 – Обед + перерыв
14:00,14:00 – Продолжение работы / учёбы,14:00 – Продолжение работы / учёбы,14:00 – Работа продолжается,14:00 – Работа продолжается,14:00 – Работа продолжается,14:00 – Продолжение работы / учёбы,14:00 – Продолжение работы / учёбы
17:30,17:30 – Подготовка к тренировке / дорога домой,17:30 – Подготовка к тренировке / дорога домой,19:00 – Возвращение домой / отдых,19:00 – Возвращение домой / отдых,19:00 – Возвращение домой / отдых,17:30 – Подготовка к тренировке / дорога домой,17:30 – Подготовка к тренировке / дорога домой
18:00,"18:00 – Тренировка (домашняя, 30–40 мин)","18:00 – Тренировка (домашняя, 30–40 мин)",–,–,–,"18:00 – Тренировка (домашняя, 30–40 мин)","18:00 – Тренировка (домашняя, 30–40 мин)"
19:00,19:00 – Ужин,19:00 – Ужин,19:00 – Ужин,19:00 – Ужин,19:00 – Ужин,19:00 – Ужин,19:00 – Ужин
20:00,20:00 – Отдых / хобби / чтение,20:00 – Отдых / хобби / чтение,20:00 – Отдых / хобби / чтение,20:00 – Отдых / хобби / чтение,20:00 – Отдых / хобби / чтение,20:00 – Отдых / хобби / чтение,20:00 – Отдых / хобби / чтение
21:00,"21:00 – Душ, подготовка ко сну","21:00 – Душ, подготовка ко сну","21:00 – Душ, подготовка ко сну","21:00 – Душ, подготовка ко сну","21:00 – Душ, подготовка ко сну","21:00 – Душ, подготовка ко сну","21:00 – Душ, подготовка ко сну"
22:00,22:00 – Сон,22:00 – Сон,22:00 – Сон,22:00 – Сон,22:00 – Сон,22:00 – Сон,22:00 – Сон
