Блюдо,Как готовить
Овсянка на воде с бананом,"Вскипятить 1 стакан воды, добавить 0.5 стакана овсянки, варить 5 мин. Добавить кусочки банана."
Хлеб с творогом,Намазать творог на ломтик хлеба. При желании — добавить немного мёда или сахара.
Овсянка с изюмом,"Варить овсянку 5–7 мин, добавить изюм и немного сахара по вкусу."
Омлет из 2 яиц,"Взбить 2 яйца, немного соли, вылить на разогретую сковороду. Жарить под крышкой 3–4 мин."
Куриные голени с картофелем,Отварить или запечь куриные голени. Картофель отварить или запечь с маслом и морковью.
Рис с курицей,"Отварить 1 стакан риса. Куриное филе обжарить или отварить, нарезать. Смешать с рисом."
Макароны с куриным филе,Отварить макароны. Курицу нарезать и обжарить. Смешать. Можно добавить масло.
Картофель с фаршем (запеканка),Обжарить фарш с луком. Отварить картофель и сделать пюре. Выложить слоями и запечь.
Картофельное пюре с котлетой,"Сделать пюре. Котлеты — из фарша с яйцом, солью, лепить, жарить по 4 мин с каждой стороны."
Макароны с яйцом и овощами,Отварить макароны. Отдельно сварить яйцо и нарезать. Смешать с тушёными овощами.
Рис с тушёной курицей,"Обжарить курицу, добавить немного воды и тушить. Отварить рис отдельно. Подавать вместе."
Паста с яйцом,"Сварить макароны. Отдельно сварить яйцо вкрутую, нарезать и подать вместе."
Творог с мёдом,Смешать творог с 1 ч. л. мёда. Подходит на перекус или перед сном.
Кефир с хлебом,"Кефир налить в стакан, подать с ломтиком хлеба или сухарём."
Йогурт с хлебцем,Подать йогурт (без сахара) с ломтиком хлебца или печеньем.
Печёное яблоко,"Разрезать яблоко пополам, запечь в духовке 15–20 мин при 180°C."
